institution,host,registrable_domain,proposed_decision,proposed_status_if_accepted,current_decision,pages,reached_only_by_redirect,sibling_hosts_same_institution,responsibilities_claimed,access_breakdown,workload_candidates,question,evidence,not_evidence
australian national university (anu),programsandcourses.anu.edu.au,anu.edu.au,NEEDS_REVIEW,VERIFIED_OFFICIAL,NONE (official_domain has no row for this host),1,False,"[""www.anu.edu.au""]","[""PROGRAM_CATALOG""]","{""BODY_EVIDENCE"": 1}",0,"Is programsandcourses.anu.edu.au controlled by, or officially authorised for, australian national university (anu)?","[{""kind"": ""SUBMITTED_BY_CLIENT"", ""detail"": ""1 page(s) submitted on this host by the client workbook for australian national university (anu)""}, {""kind"": ""SIBLING_OF_SUBMITTED_HOST"", ""detail"": ""shares the registrable domain anu.edu.au with www.anu.edu.au. A relationship to check, not a reason to inherit trust""}, {""kind"": ""PAGE_EVIDENCE_AVAILABLE"", ""detail"": ""1 page(s) have a stored body a reviewer can read. Evidence availability, not officialness""}]","[""HTTP 200 on any page"", ""the top-level domain"", ""0 extracted candidates""]"
australian national university (anu),www.anu.edu.au,anu.edu.au,NEEDS_REVIEW,VERIFIED_OFFICIAL,NONE (official_domain has no row for this host),9,False,"[""programsandcourses.anu.edu.au""]","[""ACADEMIC_CALENDAR"", ""APPLICATION_DEADLINES"", ""ENTRY_REQUIREMENTS"", ""LANGUAGE_REQUIREMENTS"", ""PHD_ADMISSIONS"", ""POSTGRADUATE_ADMISSIONS"", ""TUITION_FEES"", ""UNDERGRADUATE_ADMISSIONS"", ""UNIVERSITY_HOME""]","{""BODY_EVIDENCE"": 5, ""DEAD_NOT_FOUND"": 4}",8,"Is www.anu.edu.au controlled by, or officially authorised for, australian national university (anu)?","[{""kind"": ""SUBMITTED_BY_CLIENT"", ""detail"": ""9 page(s) submitted on this host by the client workbook for australian national university (anu)""}, {""kind"": ""PAGE_TITLE_NAMES_INSTITUTION"", ""detail"": ""5 of 5 stored title(s) name the institution, e.g. 'Apply | The Australian National University'""}, {""kind"": ""SIBLING_OF_SUBMITTED_HOST"", ""detail"": ""shares the registrable domain anu.edu.au with programsandcourses.anu.edu.au. A relationship to check, not a reason to inherit trust""}, {""kind"": ""PAGE_EVIDENCE_AVAILABLE"", ""detail"": ""5 page(s) have a stored body a reviewer can read. Evidence availability, not officialness""}]","[""HTTP 200 on any page"", ""the top-level domain"", ""8 extracted candidates""]"
california institute of technology (caltech),catalog.caltech.edu,caltech.edu,NEEDS_REVIEW,VERIFIED_OFFICIAL,NONE (official_domain has no row for this host),1,False,"[""finaid.caltech.edu"", ""gradoffice.caltech.edu"", ""registrar.caltech.edu"", ""www.admissions.caltech.edu"", ""www.caltech.edu""]","[""PROGRAM_CATALOG""]","{""BODY_EVIDENCE"": 1}",2,"Is catalog.caltech.edu controlled by, or officially authorised for, california institute of technology (caltech)?","[{""kind"": ""SUBMITTED_BY_CLIENT"", ""detail"": ""1 page(s) submitted on this host by the client workbook for california institute of technology (caltech)""}, {""kind"": ""HOST_MATCHES_INSTITUTION_TOKEN"", ""detail"": ""hostname contains caltech""}, {""kind"": ""PAGE_TITLE_NAMES_INSTITUTION"", ""detail"": ""1 of 1 stored title(s) name the institution, e.g. '2026-2027 Catalog | Caltech Academic Catalog'""}, {""kind"": ""SIBLING_OF_SUBMITTED_HOST"", ""detail"": ""shares the registrable domain caltech.edu with finaid.caltech.edu, gradoffice.caltech.edu, registrar.caltech.edu, www.admissions.caltech.edu, www.caltech.edu. A relationship to check, not a reason to inherit trust""}, {""kind"": ""PAGE_EVIDENCE_AVAILABLE"", ""detail"": ""1 page(s) have a stored body a reviewer can read. Evidence availability, not officialness""}]","[""HTTP 200 on any page"", ""the top-level domain"", ""2 extracted candidates""]"
california institute of technology (caltech),finaid.caltech.edu,caltech.edu,NEEDS_REVIEW,VERIFIED_OFFICIAL,NONE (official_domain has no row for this host),1,False,"[""catalog.caltech.edu"", ""gradoffice.caltech.edu"", ""registrar.caltech.edu"", ""www.admissions.caltech.edu"", ""www.caltech.edu""]","[""TUITION_FEES""]","{""TLS_FAILURE"": 1}",0,"Is finaid.caltech.edu controlled by, or officially authorised for, california institute of technology (caltech)?","[{""kind"": ""SUBMITTED_BY_CLIENT"", ""detail"": ""1 page(s) submitted on this host by the client workbook for california institute of technology (caltech)""}, {""kind"": ""HOST_MATCHES_INSTITUTION_TOKEN"", ""detail"": ""hostname contains caltech""}, {""kind"": ""SIBLING_OF_SUBMITTED_HOST"", ""detail"": ""shares the registrable domain caltech.edu with catalog.caltech.edu, gradoffice.caltech.edu, registrar.caltech.edu, www.admissions.caltech.edu, www.caltech.edu. A relationship to check, not a reason to inherit trust""}]","[""HTTP 200 on any page"", ""the top-level domain"", ""0 extracted candidates""]"
california institute of technology (caltech),gradoffice.caltech.edu,caltech.edu,NEEDS_REVIEW,VERIFIED_OFFICIAL,NONE (official_domain has no row for this host),2,False,"[""catalog.caltech.edu"", ""finaid.caltech.edu"", ""registrar.caltech.edu"", ""www.admissions.caltech.edu"", ""www.caltech.edu""]","[""LANGUAGE_REQUIREMENTS"", ""POSTGRADUATE_ADMISSIONS""]","{""BODY_EVIDENCE"": 1, ""DEAD_NOT_FOUND"": 1}",7,"Is gradoffice.caltech.edu controlled by, or officially authorised for, california institute of technology (caltech)?","[{""kind"": ""SUBMITTED_BY_CLIENT"", ""detail"": ""2 page(s) submitted on this host by the client workbook for california institute of technology (caltech)""}, {""kind"": ""HOST_MATCHES_INSTITUTION_TOKEN"", ""detail"": ""hostname contains caltech""}, {""kind"": ""SIBLING_OF_SUBMITTED_HOST"", ""detail"": ""shares the registrable domain caltech.edu with catalog.caltech.edu, finaid.caltech.edu, registrar.caltech.edu, www.admissions.caltech.edu, www.caltech.edu. A relationship to check, not a reason to inherit trust""}, {""kind"": ""PAGE_EVIDENCE_AVAILABLE"", ""detail"": ""1 page(s) have a stored body a reviewer can read. Evidence availability, not officialness""}]","[""HTTP 200 on any page"", ""the top-level domain"", ""7 extracted candidates""]"
california institute of technology (caltech),registrar.caltech.edu,caltech.edu,NEEDS_REVIEW,VERIFIED_OFFICIAL,NONE (official_domain has no row for this host),1,False,"[""catalog.caltech.edu"", ""finaid.caltech.edu"", ""gradoffice.caltech.edu"", ""www.admissions.caltech.edu"", ""www.caltech.edu""]","[""ACADEMIC_CALENDAR""]","{""BODY_EVIDENCE"": 1}",74,"Is registrar.caltech.edu controlled by, or officially authorised for, california institute of technology (caltech)?","[{""kind"": ""SUBMITTED_BY_CLIENT"", ""detail"": ""1 page(s) submitted on this host by the client workbook for california institute of technology (caltech)""}, {""kind"": ""HOST_MATCHES_INSTITUTION_TOKEN"", ""detail"": ""hostname contains caltech""}, {""kind"": ""PAGE_TITLE_NAMES_INSTITUTION"", ""detail"": ""1 of 1 stored title(s) name the institution, e.g. 'CALIFORNIA INSTITUTE OF TECHNOLOGY'""}, {""kind"": ""SIBLING_OF_SUBMITTED_HOST"", ""detail"": ""shares the registrable domain caltech.edu with catalog.caltech.edu, finaid.caltech.edu, gradoffice.caltech.edu, www.admissions.caltech.edu, www.caltech.edu. A relationship to check, not a reason to inherit trust""}, {""kind"": ""PAGE_EVIDENCE_AVAILABLE"", ""detail"": ""1 page(s) have a stored body a reviewer can read. Evidence availability, not officialness""}]","[""HTTP 200 on any page"", ""the top-level domain"", ""74 extracted candidates""]"
california institute of technology (caltech),www.admissions.caltech.edu,caltech.edu,NEEDS_REVIEW,VERIFIED_OFFICIAL,NONE (official_domain has no row for this host),3,False,"[""catalog.caltech.edu"", ""finaid.caltech.edu"", ""gradoffice.caltech.edu"", ""registrar.caltech.edu"", ""www.caltech.edu""]","[""APPLICATION_DEADLINES"", ""ENTRY_REQUIREMENTS"", ""UNDERGRADUATE_ADMISSIONS""]","{""BODY_EVIDENCE"": 3}",17,"Is www.admissions.caltech.edu controlled by, or officially authorised for, california institute of technology (caltech)?","[{""kind"": ""SUBMITTED_BY_CLIENT"", ""detail"": ""3 page(s) submitted on this host by the client workbook for california institute of technology (caltech)""}, {""kind"": ""HOST_MATCHES_INSTITUTION_TOKEN"", ""detail"": ""hostname contains caltech""}, {""kind"": ""SIBLING_OF_SUBMITTED_HOST"", ""detail"": ""shares the registrable domain caltech.edu with catalog.caltech.edu, finaid.caltech.edu, gradoffice.caltech.edu, registrar.caltech.edu, www.caltech.edu. A relationship to check, not a reason to inherit trust""}, {""kind"": ""PAGE_EVIDENCE_AVAILABLE"", ""detail"": ""3 page(s) have a stored body a reviewer can read. Evidence availability, not officialness""}]","[""HTTP 200 on any page"", ""the top-level domain"", ""17 extracted candidates""]"
california institute of technology (caltech),www.caltech.edu,caltech.edu,NEEDS_REVIEW,VERIFIED_OFFICIAL,NONE (official_domain has no row for this host),1,False,"[""catalog.caltech.edu"", ""finaid.caltech.edu"", ""gradoffice.caltech.edu"", ""registrar.caltech.edu"", ""www.admissions.caltech.edu""]","[""UNIVERSITY_HOME""]","{""BODY_EVIDENCE"": 1}",0,"Is www.caltech.edu controlled by, or officially authorised for, california institute of technology (caltech)?","[{""kind"": ""SUBMITTED_BY_CLIENT"", ""detail"": ""1 page(s) submitted on this host by the client workbook for california institute of technology (caltech)""}, {""kind"": ""HOST_MATCHES_INSTITUTION_TOKEN"", ""detail"": ""hostname contains caltech""}, {""kind"": ""PAGE_TITLE_NAMES_INSTITUTION"", ""detail"": ""1 of 1 stored title(s) name the institution, e.g. 'Home - www.caltech.edu'""}, {""kind"": ""SIBLING_OF_SUBMITTED_HOST"", ""detail"": ""shares the registrable domain caltech.edu with catalog.caltech.edu, finaid.caltech.edu, gradoffice.caltech.edu, registrar.caltech.edu, www.admissions.caltech.edu. A relationship to check, not a reason to inherit trust""}, {""kind"": ""PAGE_EVIDENCE_AVAILABLE"", ""detail"": ""1 page(s) have a stored body a reviewer can read. Evidence availability, not officialness""}]","[""HTTP 200 on any page"", ""the top-level domain"", ""0 extracted candidates""]"
columbia university,bulletin.columbia.edu,columbia.edu,NEEDS_REVIEW,VERIFIED_OFFICIAL,NONE (official_domain has no row for this host),1,False,"[""registrar.columbia.edu"", ""undergrad.admissions.columbia.edu"", ""www.columbia.edu"", ""www.gs.columbia.edu"", ""www.gsas.columbia.edu""]","[""PROGRAM_CATALOG""]","{""BODY_EVIDENCE"": 1}",0,"Is bulletin.columbia.edu controlled by, or officially authorised for, columbia university?","[{""kind"": ""SUBMITTED_BY_CLIENT"", ""detail"": ""1 page(s) submitted on this host by the client workbook for columbia university""}, {""kind"": ""HOST_MATCHES_INSTITUTION_TOKEN"", ""detail"": ""hostname contains columbia""}, {""kind"": ""PAGE_TITLE_NAMES_INSTITUTION"", ""detail"": ""1 of 1 stored title(s) name the institution, e.g. 'Columbia University < Columbia University'""}, {""kind"": ""SIBLING_OF_SUBMITTED_HOST"", ""detail"": ""shares the registrable domain columbia.edu with registrar.columbia.edu, undergrad.admissions.columbia.edu, www.columbia.edu, www.gs.columbia.edu, www.gsas.columbia.edu. A relationship to check, not a reason to inherit trust""}, {""kind"": ""PAGE_EVIDENCE_AVAILABLE"", ""detail"": ""1 page(s) have a stored body a reviewer can read. Evidence availability, not officialness""}]","[""HTTP 200 on any page"", ""the top-level domain"", ""0 extracted candidates""]"
columbia university,registrar.columbia.edu,columbia.edu,NEEDS_REVIEW,VERIFIED_OFFICIAL,NONE (official_domain has no row for this host),1,False,"[""bulletin.columbia.edu"", ""undergrad.admissions.columbia.edu"", ""www.columbia.edu"", ""www.gs.columbia.edu"", ""www.gsas.columbia.edu""]","[""ACADEMIC_CALENDAR""]","{""BLOCKED"": 1}",0,"Is registrar.columbia.edu controlled by, or officially authorised for, columbia university?","[{""kind"": ""SUBMITTED_BY_CLIENT"", ""detail"": ""1 page(s) submitted on this host by the client workbook for columbia university""}, {""kind"": ""HOST_MATCHES_INSTITUTION_TOKEN"", ""detail"": ""hostname contains columbia""}, {""kind"": ""SIBLING_OF_SUBMITTED_HOST"", ""detail"": ""shares the registrable domain columbia.edu with bulletin.columbia.edu, undergrad.admissions.columbia.edu, www.columbia.edu, www.gs.columbia.edu, www.gsas.columbia.edu. A relationship to check, not a reason to inherit trust""}, {""kind"": ""ACCESS_BLOCKED"", ""detail"": ""1 page(s) refused automated access. Section 8: this is not evidence the domain is unofficial""}]","[""HTTP 200 on any page"", ""the top-level domain"", ""0 extracted candidates""]"
