source_ref,is_duplicate_row,duplicate_of,institution,host,url,claimed_responsibility,declared_degree_scope,current_state,proposed_decision,page_evidence_available,access_class,field_kinds_produced,verifiable_from_page_content,question
S0236,False,,australian national university (anu),programsandcourses.anu.edu.au,https://programsandcourses.anu.edu.au/,PROGRAM_CATALOG,,PENDING,NEEDS_REVIEW,True,BODY_EVIDENCE,{},True,Is this page authoritative for PROGRAM_CATALOG?
S0242,True,S0236,australian national university (anu),programsandcourses.anu.edu.au,https://programsandcourses.anu.edu.au/,UNCLASSIFIED,,PENDING,NEEDS_REVIEW,True,BODY_EVIDENCE,{},True,Is this page authoritative for UNCLASSIFIED?
S0232,False,,australian national university (anu),www.anu.edu.au,https://www.anu.edu.au/,UNIVERSITY_HOME,,PENDING,NEEDS_REVIEW,True,BODY_EVIDENCE,{},True,Is this page authoritative for UNIVERSITY_HOME?
S0241,False,,australian national university (anu),www.anu.edu.au,https://www.anu.edu.au/directories/academic-calendar,ACADEMIC_CALENDAR,,PENDING,NEEDS_REVIEW,False,DEAD_NOT_FOUND,{},False,Is this page authoritative for ACADEMIC_CALENDAR?
S0239,False,,australian national university (anu),www.anu.edu.au,https://www.anu.edu.au/students/program-administration/costs-fees,TUITION_FEES,,PENDING,NEEDS_REVIEW,True,BODY_EVIDENCE,{},True,Is this page authoritative for TUITION_FEES?
S0240,False,,australian national university (anu),www.anu.edu.au,https://www.anu.edu.au/study/apply,APPLICATION_DEADLINES,,PENDING,NEEDS_REVIEW,True,BODY_EVIDENCE,{},True,Is this page authoritative for APPLICATION_DEADLINES?
S0234,False,,australian national university (anu),www.anu.edu.au,https://www.anu.edu.au/study/apply/domestic-applications-anu-postgraduate,POSTGRADUATE_ADMISSIONS,TAUGHT_POSTGRADUATE,PENDING,NEEDS_REVIEW,False,DEAD_NOT_FOUND,{},False,Is this page authoritative for POSTGRADUATE_ADMISSIONS?
S0233,False,,australian national university (anu),www.anu.edu.au,https://www.anu.edu.au/study/apply/domestic-applications-anu-undergraduate,UNDERGRADUATE_ADMISSIONS,UNDERGRADUATE,PENDING,NEEDS_REVIEW,True,BODY_EVIDENCE,"{""ADMISSION_REQUIREMENT"": 4, ""APPLICATION_DEADLINE"": 1}",True,Is this page authoritative for UNDERGRADUATE_ADMISSIONS?
S0238,False,,australian national university (anu),www.anu.edu.au,https://www.anu.edu.au/study/apply/english-language-requirements,LANGUAGE_REQUIREMENTS,,PENDING,NEEDS_REVIEW,True,BODY_EVIDENCE,"{""LANGUAGE_TEST"": 3}",True,Is this page authoritative for LANGUAGE_REQUIREMENTS?
S0237,False,,australian national university (anu),www.anu.edu.au,https://www.anu.edu.au/study/apply/entry-requirements,ENTRY_REQUIREMENTS,,PENDING,NEEDS_REVIEW,False,DEAD_NOT_FOUND,{},False,Is this page authoritative for ENTRY_REQUIREMENTS?
S0235,False,,australian national university (anu),www.anu.edu.au,https://www.anu.edu.au/study/apply/research-applications,PHD_ADMISSIONS,RESEARCH_POSTGRADUATE,PENDING,NEEDS_REVIEW,False,DEAD_NOT_FOUND,{},False,Is this page authoritative for PHD_ADMISSIONS?
S0060,False,,california institute of technology (caltech),catalog.caltech.edu,https://catalog.caltech.edu/current/,PROGRAM_CATALOG,,PENDING,NEEDS_REVIEW,True,BODY_EVIDENCE,"{""DEGREE_LEVEL"": 1, ""PROGRAM_NAME"": 1}",True,Is this page authoritative for PROGRAM_CATALOG?
S0066,True,S0060,california institute of technology (caltech),catalog.caltech.edu,https://catalog.caltech.edu/current/,UNCLASSIFIED,,PENDING,NEEDS_REVIEW,True,BODY_EVIDENCE,{},True,Is this page authoritative for UNCLASSIFIED?
S0063,False,,california institute of technology (caltech),finaid.caltech.edu,https://finaid.caltech.edu/current-students/undergraduate-costs,TUITION_FEES,,PENDING,NEEDS_REVIEW,False,TLS_FAILURE,{},False,Is this page authoritative for TUITION_FEES?
S0058,False,,california institute of technology (caltech),gradoffice.caltech.edu,https://gradoffice.caltech.edu/admissions,POSTGRADUATE_ADMISSIONS,TAUGHT_POSTGRADUATE,PENDING,NEEDS_REVIEW,True,BODY_EVIDENCE,"{""ADMISSION_REQUIREMENT"": 6, ""APPLICATION_DEADLINE"": 1}",True,Is this page authoritative for POSTGRADUATE_ADMISSIONS?
S0059,True,S0058,california institute of technology (caltech),gradoffice.caltech.edu,https://gradoffice.caltech.edu/admissions,PHD_ADMISSIONS,RESEARCH_POSTGRADUATE,PENDING,NEEDS_REVIEW,True,BODY_EVIDENCE,{},True,Is this page authoritative for PHD_ADMISSIONS?
S0062,False,,california institute of technology (caltech),gradoffice.caltech.edu,https://gradoffice.caltech.edu/admissions/requirements,LANGUAGE_REQUIREMENTS,,PENDING,NEEDS_REVIEW,False,DEAD_NOT_FOUND,{},False,Is this page authoritative for LANGUAGE_REQUIREMENTS?
S0065,False,,california institute of technology (caltech),registrar.caltech.edu,https://registrar.caltech.edu/documents/25766/AcademicCalendar2026-27.pdf,ACADEMIC_CALENDAR,,PENDING,NEEDS_REVIEW,True,BODY_EVIDENCE,"{""ACADEMIC_CALENDAR_EVENT"": 74}",True,Is this page authoritative for ACADEMIC_CALENDAR?
S0057,False,,california institute of technology (caltech),www.admissions.caltech.edu,https://www.admissions.caltech.edu/,UNDERGRADUATE_ADMISSIONS,UNDERGRADUATE,PENDING,NEEDS_REVIEW,True,BODY_EVIDENCE,{},True,Is this page authoritative for UNDERGRADUATE_ADMISSIONS?
S0061,False,,california institute of technology (caltech),www.admissions.caltech.edu,https://www.admissions.caltech.edu/apply/first-year-applicants,ENTRY_REQUIREMENTS,,PENDING,NEEDS_REVIEW,True,BODY_EVIDENCE,{},True,Is this page authoritative for ENTRY_REQUIREMENTS?
S0064,False,,california institute of technology (caltech),www.admissions.caltech.edu,https://www.admissions.caltech.edu/apply/first-year-applicants/deadlines,APPLICATION_DEADLINES,,PENDING,NEEDS_REVIEW,True,BODY_EVIDENCE,"{""APPLICATION_DEADLINE"": 17}",True,Is this page authoritative for APPLICATION_DEADLINES?
S0056,False,,california institute of technology (caltech),www.caltech.edu,https://www.caltech.edu/,UNIVERSITY_HOME,,PENDING,NEEDS_REVIEW,True,BODY_EVIDENCE,{},True,Is this page authoritative for UNIVERSITY_HOME?
