source_ref,institution,host,url,effective_host,ended_on_a_different_host,access_class,fetch_status,http_status,error_class,stored_title,page_evidence_available,current_publication_eligibility,proposed_decision,question,blocked_note,dead_note,workload_candidates
S0236,australian national university (anu),programsandcourses.anu.edu.au,https://programsandcourses.anu.edu.au/,,False,BODY_EVIDENCE,OK,200,,Programs and Courses - ANU,True,NOT_ELIGIBLE,NEEDS_REVIEW,Is this URL an appropriate official source for australian national university (anu)?,,,0
S0232,australian national university (anu),www.anu.edu.au,https://www.anu.edu.au/,,False,BODY_EVIDENCE,OK,200,,The Australian National University,True,NOT_ELIGIBLE,NEEDS_REVIEW,Is this URL an appropriate official source for australian national university (anu)?,,,0
S0241,australian national university (anu),www.anu.edu.au,https://www.anu.edu.au/directories/academic-calendar,,False,DEAD_NOT_FOUND,HTTP_ERROR,404,HTTP404: Not Found,,False,NOT_ELIGIBLE,NEEDS_REVIEW,Is this URL an appropriate official source for australian national university (anu)?,,"Section 9: an official URL can be dead. This needs source replacement, and its responsibility must NOT be verified from the URL path. No replacement is searched for at this stage.",0
S0239,australian national university (anu),www.anu.edu.au,https://www.anu.edu.au/students/program-administration/costs-fees,www.anu.edu.au,False,BODY_EVIDENCE,OK,200,,Fees & payments | Australian National University,True,NOT_ELIGIBLE,NEEDS_REVIEW,Is this URL an appropriate official source for australian national university (anu)?,,,0
S0240,australian national university (anu),www.anu.edu.au,https://www.anu.edu.au/study/apply,study.anu.edu.au,True,BODY_EVIDENCE,OK,200,,Apply | The Australian National University,True,NOT_ELIGIBLE,NEEDS_REVIEW,Is this URL an appropriate official source for australian national university (anu)?,,,0
S0234,australian national university (anu),www.anu.edu.au,https://www.anu.edu.au/study/apply/domestic-applications-anu-postgraduate,,False,DEAD_NOT_FOUND,HTTP_ERROR,404,HTTP404: Not Found,,False,NOT_ELIGIBLE,NEEDS_REVIEW,Is this URL an appropriate official source for australian national university (anu)?,,"Section 9: an official URL can be dead. This needs source replacement, and its responsibility must NOT be verified from the URL path. No replacement is searched for at this stage.",0
S0233,australian national university (anu),www.anu.edu.au,https://www.anu.edu.au/study/apply/domestic-applications-anu-undergraduate,study.anu.edu.au,True,BODY_EVIDENCE,OK,200,,Domestic undergraduate | The Australian National University,True,NOT_ELIGIBLE,NEEDS_REVIEW,Is this URL an appropriate official source for australian national university (anu)?,,,5
S0238,australian national university (anu),www.anu.edu.au,https://www.anu.edu.au/study/apply/english-language-requirements,study.anu.edu.au,True,BODY_EVIDENCE,OK,200,,English language requirements | The Australian National University,True,NOT_ELIGIBLE,NEEDS_REVIEW,Is this URL an appropriate official source for australian national university (anu)?,,,3
S0237,australian national university (anu),www.anu.edu.au,https://www.anu.edu.au/study/apply/entry-requirements,,False,DEAD_NOT_FOUND,HTTP_ERROR,404,HTTP404: Not Found,,False,NOT_ELIGIBLE,NEEDS_REVIEW,Is this URL an appropriate official source for australian national university (anu)?,,"Section 9: an official URL can be dead. This needs source replacement, and its responsibility must NOT be verified from the URL path. No replacement is searched for at this stage.",0
S0235,australian national university (anu),www.anu.edu.au,https://www.anu.edu.au/study/apply/research-applications,,False,DEAD_NOT_FOUND,HTTP_ERROR,404,HTTP404: Not Found,,False,NOT_ELIGIBLE,NEEDS_REVIEW,Is this URL an appropriate official source for australian national university (anu)?,,"Section 9: an official URL can be dead. This needs source replacement, and its responsibility must NOT be verified from the URL path. No replacement is searched for at this stage.",0
S0060,california institute of technology (caltech),catalog.caltech.edu,https://catalog.caltech.edu/current/,,False,BODY_EVIDENCE,OK,200,,2026-2027 Catalog | Caltech Academic Catalog,True,NOT_ELIGIBLE,NEEDS_REVIEW,Is this URL an appropriate official source for california institute of technology (caltech)?,,,2
S0063,california institute of technology (caltech),finaid.caltech.edu,https://finaid.caltech.edu/current-students/undergraduate-costs,,False,TLS_FAILURE,HTTP_ERROR,,ConnectError: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1010),,False,NOT_ELIGIBLE,NEEDS_REVIEW,Is this URL an appropriate official source for california institute of technology (caltech)?,,"Section 9: an official URL can be dead. This needs source replacement, and its responsibility must NOT be verified from the URL path. No replacement is searched for at this stage.",0
